date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:59	85/85	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Nov%202025%2013:06:54%20GMT	https://encontratuprepaga.com.ar/robots.txt		(from )
13:46:01	150415/150415	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20May%202026%2016:46:00%20GMT	https://encontratuprepaga.com.ar/	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/index.html	(from )
13:46:01	5456/5456	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2002:26:19%20GMT	https://encontratuprepaga.com.ar/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.5	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/wp-content/themes/hello-elementor/assets/css/reset4c8b.css	(from https://encontratuprepaga.com.ar/)
13:46:03	1102/1102	---M-Z	200	added ('OK')	application/rss+xml	etag:%224a1704b8adfe605b134d1541b67c18c1%22	https://encontratuprepaga.com.ar/feed/	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/feed/index.html	(from https://encontratuprepaga.com.ar/)
13:46:03	53614/53614	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2002:26:14%20GMT	https://encontratuprepaga.com.ar/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.5	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/wp-content/plugins/elementor/assets/css/frontend.min9287.css	(from https://encontratuprepaga.com.ar/)
13:46:03	254/254	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2002:26:14%20GMT	https://encontratuprepaga.com.ar/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.32.5	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/wp-content/plugins/elementor/assets/css/widget-image.min9287.css	(from https://encontratuprepaga.com.ar/)
13:46:03	759/759	---M-Z	200	added ('OK')	application/rss+xml	etag:%224a1704b8adfe605b134d1541b67c18c1%22	https://encontratuprepaga.com.ar/comments/feed/	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/comments/feed/index.html	(from https://encontratuprepaga.com.ar/)
13:46:04	27364/27364	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2002:26:15%20GMT	https://encontratuprepaga.com.ar/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.32.3	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min8e60.css	(from https://encontratuprepaga.com.ar/)
13:46:04	162/162	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2002:26:15%20GMT	https://encontratuprepaga.com.ar/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.32.3	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min8e60.css	(from https://encontratuprepaga.com.ar/)
13:46:05	130/130	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2002:26:15%20GMT	https://encontratuprepaga.com.ar/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.32.5	C:/My%20Web%20Sites/EncontraTuPrepaga/encontratuprepaga.com.ar/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min9287.css	(from https://encontratuprepaga.com.ar/)
